Mois,Saison,Détail,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Narwain,Hiver-milieu,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Narwain,Hiver-milieu,Météo,"Froid pénétrant","Ciel clair et glacial","Vent du nord piquant","Givre étincelant","Soleil bas et sans chaleur","Ciel de plomb","Atmosphère lourde","Froid humide","Brouillard givrant","Silence feutré","Neige fine et drue","Flocons légers","Paysage blanc","Vent tourbillonnant","Accumulations légères","Froid mordant","Nuit polaire","Verglas dangereux","Cristaux de glace","Air vif et pur","Éclaircies glaciales","Nuages bas","Grésil intermittent","Vent coupant","Givre épais sur les branches","Températures stables et basses","Ciel gris persistant","Nuits longues et sombres","Gelée blanche au sol","Immobilité hivernale",
Narwain,Hiver-milieu,Symbole,"🥶","☀️","💨","❄️","☀️","☁️","🌫️","🥶","🌫️","❄️","🌨️","❄️","⛄️","🌬️","🌨️","🥶","🌃","🧊","❄️","✨","🌤️","☁️","🌨️","💨","❄️","🥶","☁️","🌑","❄️","🥶",
Nínui,Hiver-fin,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Nínui,Hiver-fin,Météo,"Neige fondante","Flaques d'eau boueuse","Gouttes des toits","Soleil timide","Terre gorgée d'eau","Pluie froide et fine","Ciel larmoyant","Ruisseaux qui gonflent","Vent humide","Odeur de terre mouillée","Douceur surprenante","Soleil plus chaud","Fonte accélérée","Brouillard matinal se dissipant","Premiers chants d'oiseaux","Alternance pluie et soleil","Bourrasques de vent","Ciel changeant","Arcs-en-ciel éphémères","Nuits plus douces","Premiers bourgeons timides","Lumière qui s'allonge","Air frais et vivifiant","Sol qui s'assèche","Sensation de renouveau","Dernières gelées nocturnes","Journées claires","Vent d'ouest","Ruisseaux assagis","Ciel lavé par la pluie",
Nínui,Hiver-fin,Symbole,"🌨️","💧","💧","🌤️","💦","🌧️","🌧️","🌊","🌬️","🌱","🌥️","☀️","💧","🌫️","🐦","🌦️","💨","🌥️","🌈","🌙","🌱","🌅","✨","🌤️","🌱","🥶","☀️","💨","💧","🌦️",
Gwaeron,Printemps-début,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Gwaeron,Printemps-début,Météo,"Averse soudaine","Ciel menaçant puis bleu","Vent frais et tournoyant","Arc-en-ciel vif","Gouttes froides","Soleil perçant les nuages","Pluie drue et courte","Bourrasque humide","Terre détrempée","Lumière cristalline","Bourgeons qui éclatent","Vent doux et porteur d'odeurs","Rosée matinale abondante","Soleil printanier","Chants d'oiseaux plus forts","Prairies qui verdissent","Air vivifiant","Nuages blancs et rapides","Douceur de l'après-midi","Nuits encore fraîches","Journées plus longues","Ciel majoritairement clair","Brise légère","Chaleur timide","Moins de précipitations","Floraison des primevères","Sol qui se réchauffe","Lumière douce du soir","Calme avant l'explosion florale","Le printemps s'installe",
Gwaeron,Printemps-début,Symbole,"🌧️","🌦️","💨","🌈","💧","🌤️","🌧️","🌬️","💦","✨","🌱","🌬️","💧","☀️","🐦","🌿","💨","☁️","🌤️","🌙","🌅","☀️","🌬️","☀️","🌥️","🌸","🌱","🌇","🌱","🌿",
Gwirith,Printemps-milieu,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Gwirith,Printemps-milieu,Météo,"Parfum de lilas","Pollen doré dans l'air","Douceur enveloppante","Soleil généreux","Abeilles au travail","Prairies fleuries","Brise tiède","Ciel d'azur","Chants de merles","Verdure éclatante","Chaleur agréable","Journées longues et lumineuses","Nuits douces","Légers nuages cotonneux","Rosée scintillante","Papillons multicolores","Calme plat","Lumière dorée","Murmure du vent","Sérénité printanière","Averses de pluie tiède","Odeur de terre mouillée","Feuillage lavé et brillant","Soleil revenant rapidement","Orages de chaleur en soirée","Éclairs lointains","Tonnerre sourd","Air rafraîchi","Arcs-en-ciel doubles","Croissance visible",
Gwirith,Printemps-milieu,Symbole,"🌸","🌼","🌤️","☀️","🐝","🌷","🌬️","☀️","🐦","🌿","☀️","🌅","🌙","☁️","💧","🦋","🌬️","☀️","🍃","😌","🌧️","🌱","🌿","☀️","⛈️","⚡","🌩️","💨","🌈","🌱",
Lothron,Printemps-fin,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Lothron,Printemps-fin,Météo,"Chaleur estivale précoce","Soleil intense à midi","Feuillage dense et sombre","Air sec","Besoin d'ombre","Chants des cigales","Nuits tièdes","Ciel sans nuages","Lézards au soleil","Sols qui craquellent","Ciel qui s'assombrit vite","Atmosphère lourde et électrique","Vent qui se lève soudainement","Gouttes grosses et espacées","Déluge bref et intense","Éclairs et tonnerre","Odeur d'ozone","Fraîcheur bienvenue","Flaques d'eau miroitantes","Calme retrouvé","Végétation exubérante","Parfums capiteux des fleurs","Chaleur humide","Moustiques en soirée","Lumière verte sous les arbres","Coucher de soleil flamboyant","Nuits étoilées et douces","Fin du printemps","Fruits qui se forment","Promesse de l'été","Chaleur stable",
Lothron,Printemps-fin,Symbole,"🔥","☀️","🌳","💨","🌳","🦗","🌙","☀️","🦎","🏜️","🌥️","⚡","🌬️","💧","🌧️","⛈️","💨","🌦️","💧","😌","🌿","🌺","🥵","🦟","🍃","🌇","🌌","🌱","🍓","☀️","☀️",
Nórui,Eté-début,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
